LATITUDE|LONGITUDE|ELEVATION|DATE|AWND|CDSD|CLDD|DP01|DP10|DSND|DSNW|DT00|DT32|DX32|DX70|DX90|EMNT|EMSD|EMSN|EMXP|EMXT|FZF0|FZF1|FZF2|FZF3|FZF4|FZF5|FZF6|FZF7|FZF8|FZF9|HDSD|HTDD|PRCP|PSUN|SNOW|TAVG|TMAX|TMIN|TSUN|WDF2|WDF5|WDFG|WDMV|WSF2|WSF5|WSFG|name
0|47.8663|-121.7175|51.8|1997||142.0|142.0|202.0|157.0|0.0|0.0|0.0|43.0|0.0|101.0|3.0|17.0|0.0|0.0|2.08|93.0|32.0|27.0||||31.0|27.0|24.0|19.0||4942.0|4942.0|79.97||0.0|52.5|61.6|43.5|||||||||STARTUP 1 E, WA US
1|47.8663|-121.7175|51.8|1998||||||||||||||||||||||||||||4450.0|4450.0|||||||||||||||STARTUP 1 E, WA US
2|48.6116|-122.8063|24.4|1997||13.0|13.0|128.0|93.0||0.0|0.0|25.0|0.0|67.0|0.0|19.0||0.0|1.1|84.0|32.0|||||32.0|21.0|21.0|19.0||5598.0|5598.0|32.17||0.0|50.9|58.8|42.9|||||||||OLGA 2 SE, WA US
3|48.6116|-122.8063|24.4|1998||11.0|11.0|123.0|86.0||3.0|0.0|18.0|8.0|62.0|0.0|18.0||3.5|1.07|84.0|21.0|21.0|21.0|18.0||32.0|26.0|18.0|18.0||4920.0|4920.0|30.39||6.5|51.1|59.1|43.1|||||||||OLGA 2 SE, WA US
4|48.7272|-121.0722|376.7|1997||202.0|202.0|185.0|129.0|84.0|12.0|0.0|73.0|4.0|85.0|4.0|9.0|34.0|8.0|3.09|92.0|32.0|28.0||||30.0|26.0|23.0|9.0|9.0|6594.0|6594.0|75.83||34.0|48.5|56.1|41.0|||||||||ROSS DAM, WA US
5|48.7272|-121.0722|376.7|1998||414.0|414.0|148.0|102.0||13.0|0.0|56.0|12.0|110.0|15.0|7.0||13.0|2.55|101.0|31.0|20.0|20.0|20.0|9.0|31.0|23.0|23.0|11.0|11.0|5729.0|5729.0|59.18||52.5|50.6|58.6|42.6|||||||||ROSS DAM, WA US
6|47.2325|-117.3626|733.0|1997||286.0|286.0||||14.0|0.0|130.0|24.0|122.0|15.0|8.0||3.0||100.0|32.0|28.0|18.0|18.0|14.0|31.0|22.0|22.0|16.0|16.0|||||26.2|48.0|59.1|36.9|||||||||ROSALIA, WA US
7|47.2325|-117.3626|733.0|1998||474.0|474.0|108.0|78.0||6.0|5.0|130.0|13.0|131.0|39.0|-5.0||4.0|0.9|104.0|29.0|24.0|24.0|20.0|13.0|29.0|28.0|24.0|4.0|4.0|5844.0|5844.0|18.44||13.3|49.4|61.1|37.6|||||||||ROSALIA, WA US
8|48.36|-119.08|1527.0|1997||58.0|58.0|88.0|88.0|||2.0|205.0|79.0|65.0|3.0|-3.0|||1.1|94.0|31.0|27.0|21.0|18.0|15.0|32.0|27.0|22.0|19.0|15.0|9907.0|9907.0|22.43|||39.4|48.1|30.7|||||||||MOSES MOUNTAIN, WA US
9|48.36|-119.08|1527.0|1998||205.0|205.0|128.0|128.0|||8.0|192.0|86.0|68.0|1.0|-13.0|||2.1|92.0|29.0|27.0|24.0|20.0|15.0|32.0|27.0|20.0|18.0|15.0|8998.0|8998.0|44.13|||41.1|49.0|33.2|||||||||MOSES MOUNTAIN, WA US
10|47.54|-121.09|1045.5|1997||||170.0|170.0|||||||||||3.1||||||||||||||78.35||||||||||||||FISH LAKE, WA US
11|47.54|-121.09|1045.5|1998||139.0|139.0|150.0|150.0|||4.0|196.0|35.0|87.0|14.0|-9.0|||3.6|99.0|32.0|27.0|24.0|19.0|14.0|30.0|28.0|24.0|16.0|16.0|8516.0|8516.0|71.02|||42.8|52.6|33.0|||||||||FISH LAKE, WA US
12|46.2014|-119.758|253.0|1997||805.0|805.0|60.0|32.0||0.0|0.0|118.0|9.0|151.0|40.0|3.0||0.0|0.6|102.0|32.0|26.0|17.0|17.0|16.0|30.0|25.0|24.0|19.0|13.0|||8.91||0.0|53.4|65.8|41.0|||||||||PROSSER, WA US
13|48.44028|-122.38667|4.3|1997||56.0|56.0|171.0|102.0|||0.0|41.0|2.0|88.0|0.0|20.0|||1.46|87.0|32.0|27.0||||31.0|27.0|22.0|20.0||5153.0|5153.0|38.87|||52.4|60.3|44.4|||||||||MOUNT VERNON 3 WNW, WA US
14|48.44028|-122.38667|4.3|1998||||||||||||||||||||||||||||4576.0|4576.0|||||||||||||||MOUNT VERNON 3 WNW, WA US
15|47.1175|-118.3714|568.1|1997||362.0|362.0|80.0|51.0||4.0|0.0|144.0|31.0|123.0|21.0|5.0||8.0|0.76|99.0|32.0|28.0|24.0|18.0|16.0|32.0|28.0|24.0|17.0|9.0|6586.0|6586.0|15.61||12.9|48.5|59.9|37.1|||||||||RITZVILLE 1 SSE, WA US
16|47.1175|-118.3714|568.1|1998||669.0|669.0|90.0|45.0||4.0|3.0|120.0|11.0|139.0|46.0|-1.0||2.0|1.21|105.0|32.0|28.0|24.0|17.0|11.0|31.0|25.0|24.0|13.0|13.0|5879.0|5879.0|14.52||7.3|50.9|62.8|39.0|||||||||RITZVILLE 1 SSE, WA US
17|48.5472|-117.9019|495.9|1997||385.0|385.0|110.0|57.0|78.0|15.0|4.0|145.0|19.0|130.0|25.0|-2.0|18.0|4.0|0.74|103.0|29.0|28.0|21.0|18.0|15.0|31.0|22.0|22.0|15.0|15.0|||19.34||26.4|48.7|60.5|36.9|||||||||COLVILLE, WA US
18|48.5472|-117.9019|495.9|1998||622.0|622.0|124.0|78.0||15.0|4.0|105.0|13.0|140.0|49.0|-4.0||7.0|1.69|104.0|32.0|28.0|24.0|9.0|9.0|32.0|27.0|21.0|20.0|10.0|5614.0|5614.0|29.02||35.9|51.5|63.6|39.4|||||||||COLVILLE, WA US
19|47.768|-118.7239|689.5|1997||305.0|305.0|||||0.0|173.0|36.0|115.0|14.0|3.0||||100.0|32.0|28.0|17.0|17.0|16.0|31.0|28.0|20.0|20.0|13.0|7400.0|7400.0||||45.8|57.4|34.3|||||||||WILBUR, WA US
20|47.768|-118.7239|689.5|1998||||||||||||||||||||||||||||6349.0|6349.0|||||||||||||||WILBUR, WA US
21|47.2235|-119.8524|392.0|1997||445.0|445.0|44.0|24.0||4.0|1.0|133.0|23.0|123.0|12.0|-1.0||3.5|0.7|98.0|30.0|28.0|21.0|18.0|12.0|31.0|27.0|24.0|20.0|15.0|||7.61||8.8|49.5|59.8|39.2|||||||||QUINCY 1 S, WA US
22|47.2235|-119.8524|392.0|1998||||70.0|29.0||4.0|0.0|114.0||||3.0||4.0|0.8||32.0|28.0|23.0|10.0|10.0|24.0|24.0|24.0|20.0|13.0|||7.43||9.3|||41.0|||||||||QUINCY 1 S, WA US
23|46.78|-121.75|1563.6|1997||6.0|6.0|186.0|186.0|||0.0|195.0|49.0|29.0|0.0|9.0|||5.7|79.0|32.0|28.0|24.0|20.0|13.0|32.0|23.0|23.0|18.0|9.0|9351.0|9351.0|154.28|||39.7|47.7|31.6|||||||||PARADISE, WA US
24|46.78|-121.75|1563.6|1998||79.0|79.0|215.0|215.0|||3.0|204.0|50.0|45.0|0.0|-7.0|||6.5|87.0|31.0|26.0|24.0|20.0|7.0|31.0|26.0|24.0|19.0|14.0|9134.0|9134.0|127.66|||40.0|47.8|32.2|||||||||PARADISE, WA US
25|46.8167|-117.883|449.9|1997||||102.0|49.0|13.0|4.0|||||||4.0|4.5|0.85||||||||||||||15.08||10.9||||||||||||LACROSSE, WA US
26|46.8167|-117.883|449.9|1998||673.0|673.0|124.0|49.0||3.0|3.0|111.0|11.0|144.0|51.0|-7.0||2.4|0.76|107.0|32.0|22.0|22.0|20.0|10.0|28.0|28.0|21.0|19.0|12.0|||16.11||8.4|52.1|65.0|39.1|||||||||LACROSSE, WA US
27|47.18899999999999|-120.913|579.1|1997||160.0|160.0|163.0|74.0|94.0|38.0|3.0|145.0|21.0|94.0|8.0|-2.0|43.0|7.0|1.5|98.0|31.0|28.0|24.0|15.0|15.0|32.0|26.0|21.0|17.0|14.0|7078.0|7078.0|24.09||73.7|46.9|56.9|36.9|||||||||CLE ELUM, WA US
28|47.18899999999999|-120.913|579.1|1998||378.0|378.0||||40.0|3.0|130.0|16.0|114.0|18.0|-3.0||13.0||102.0|28.0|28.0|24.0|19.0|14.0|31.0|27.0|24.0|20.0|16.0|6262.0|6262.0|||120.4|48.6|58.6|38.5|||||||||CLE ELUM, WA US
29|46.8367|-119.6633|170.7|1997||752.0|752.0|56.0|23.0|1.0|1.0|0.0|120.0|15.0|158.0|41.0|7.0|3.0|2.0|0.55|104.0|31.0|27.0|22.0|20.0|16.0|30.0|22.0|22.0|18.0|13.0|5581.0|5581.0|8.06||2.0|52.8|65.0|40.7|||||||||SMYRNA, WA US
30|46.8367|-119.6633|170.7|1998||1184.0|1184.0|59.0|23.0||3.0|1.0|103.0|13.0|162.0|69.0|-1.0||1.0|0.34|113.0|32.0|26.0|21.0|19.0|16.0|32.0|27.0|23.0|20.0|15.0|4774.0|4774.0|5.73||3.1|55.0|68.1|41.9|||||||||SMYRNA, WA US
31|47.28|-120.49|1642.9|1997||14.0|14.0|88.0|88.0|||2.0|218.0|57.0|41.0|0.0|-1.0|||2.1|86.0|31.0|26.0|23.0|19.0|16.0|31.0|28.0|22.0|15.0|15.0|9900.0|9900.0|26.56|||38.4|47.6|29.1|||||||||GROUSE CAMP, WA US
32|47.28|-120.49|1642.9|1998||96.0|96.0|125.0|125.0|||7.0|203.0|67.0|56.0|0.0|-13.0|||2.5|89.0|30.0|26.0|24.0|19.0|11.0|31.0|27.0|23.0|17.0|16.0|9409.0|9409.0|43.54|||39.8|49.1|30.6|||||||||GROUSE CAMP, WA US
33|47.5586|-120.675|343.8|1997||||112.0|64.0|103.0|16.0|||||||52.0|6.9|1.62||||||||||||||26.22||56.9||||||||||||LEAVENWORTH 3 S, WA US
