Coast,Dogs not allowed,Established campsites,Fall foilage,Good for kids,Lakes,Mountain views,Old growth,Ridges/passes,Rivers,Summits,Waterfalls,Wildflowers/Meadows,Wildlife,distance,elevation_gain,highest_point,hike_name,lat,long,numReports,number_votes,rating,region,url,which_pass
0,0,0,0,0,0,1,0,0,0,0,1,1,0,"13.8 miles, roundtrip",3800,4788,Mount Teneriffe,47.4861,-121.7011,451,18,3.44 out of 5,Snoqualmie Region -- North Bend Area,https://www.wta.org/go-hiking/hikes/mount-teneriffe-road-trail,Discover Pass
0,0,0,0,0,0,1,0,0,0,0,1,1,0,"5.4 miles, roundtrip",1585,2370,Teneriffe Falls (Kamikaze Falls),47.4862,-121.6995,683,35,3.89 out of 5,Snoqualmie Region -- North Bend Area,https://www.wta.org/go-hiking/hikes/kamikaze-falls,Discover Pass
0,0,0,0,0,0,0,0,0,1,0,0,1,1,NaN,,,Chief Joseph Wildlife Area - 4-O Ranch,46.0407,-117.2912,1,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-4-o-ranch,Discover Pass
0,0,0,0,0,0,1,0,1,0,1,0,1,0,"6.8 miles, roundtrip",3020,5220,West Defiance - Putrid Pete's Peak,47.4267,-121.5864,114,7,3.86 out of 5,Snoqualmie Region -- North Bend Area,https://www.wta.org/go-hiking/hikes/west-defiance,Northwest Forest Pass
0,0,0,0,0,1,1,0,0,0,0,0,0,0,"7.6 miles, roundtrip",1400,1950,Diablo Lake,48.7206,-121.1216,101,15,3.20 out of 5,North Cascades -- North Cascades Highway - Hwy 20,https://www.wta.org/go-hiking/hikes/diablo-lake,NaN
0,0,0,0,1,0,0,0,0,0,0,0,0,0,"2.5 miles, roundtrip",110,1270,Klondike Swamp,47.5335,-122.1137,42,4,2.75 out of 5,Issaquah Alps -- Cougar Mountain,https://www.wta.org/go-hiking/hikes/klondike-swamp,None
0,0,0,0,1,0,1,0,1,0,1,0,1,0,"4.2 miles, roundtrip",1685,8245,Tiffany Mountain,48.663,-119.9648,46,10,4.10 out of 5,North Cascades -- Pasayten,https://www.wta.org/go-hiking/hikes/tiffany-mountain,NaN
0,0,0,0,1,0,0,0,0,0,0,0,1,1,4.0 miles of trails,900,2900,Colville Mountain Loop Trail,,,1,0,0.00 out of 5,Eastern Washington -- Selkirk Range,https://www.wta.org/go-hiking/hikes/colville-mountain-loop-trail,None
0,0,0,0,1,0,0,0,0,0,0,0,1,1,NaN,,,Scatter Creek,46.8432,-122.9842,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/scatter-creek,NaN
0,0,0,0,1,0,0,1,0,1,0,1,1,1,"0.6 miles, roundtrip",40,1360,Camp Creek Falls,46.4487,-121.8355,3,4,3.50 out of 5,South Cascades -- White Pass/Cowlitz River Valley,https://www.wta.org/go-hiking/hikes/camp-creek-falls,Northwest Forest Pass
0,0,1,0,1,1,0,0,1,1,0,0,0,0,NaN,,,Stampede Pass to Windy Pass,47.2832,-121.3514,7,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/windy-pass-to-stampede-pass,NaN
0,0,0,0,0,0,1,0,0,0,1,0,1,0,"3.0 miles, roundtrip",1400,5892,Sunrise Peak,46.3354,-121.7434,21,7,3.57 out of 5,South Cascades -- Dark Divide,https://www.wta.org/go-hiking/hikes/sunrise-peak,None
0,0,1,0,0,1,1,1,1,1,0,0,0,1,"18.7 miles, one-way",3600,4900,Stehekin to Rainy Pass,,,1,0,0.00 out of 5,North Cascades -- North Cascades Highway - Hwy 20,https://www.wta.org/go-hiking/hikes/stehekin-to-rainy-pass,National Park Pass
0,0,1,0,1,1,0,0,0,0,0,0,1,0,"4.4 miles, roundtrip",900,5200,Twin Sisters Lakes,46.752,-121.3615,76,12,3.58 out of 5,Mount Rainier Area -- Chinook Pass - Hwy 410,https://www.wta.org/go-hiking/hikes/twin-sisters,Northwest Forest Pass
0,0,0,0,0,0,1,0,1,0,1,0,0,0,"14.8 miles, roundtrip",3700,7400,Mount Aix,46.8126,-121.3018,83,8,4.62 out of 5,Mount Rainier Area -- Chinook Pass - Hwy 410,https://www.wta.org/go-hiking/hikes/mount-aix,NaN
0,0,0,0,1,0,0,0,0,0,0,0,0,0,"0.5 miles, roundtrip",27,4076,Copper City Ghost Town,46.8689,-121.2933,5,0,0.00 out of 5,Mount Rainier Area -- Chinook Pass - Hwy 410,https://www.wta.org/go-hiking/hikes/copper-city-ghost-town,Northwest Forest Pass
0,0,0,0,0,1,1,1,0,0,0,0,0,0,"63.3 miles, one-way",8600,6400,Chinook Pass to Snoqualmie Pass,,,2,0,0.00 out of 5,Mount Rainier Area -- Chinook Pass - Hwy 410,https://www.wta.org/go-hiking/hikes/chinook-pass-to-snoqualmie-pass,Wilderness permit. Self-issue at trailhead (no fee)
0,0,1,0,0,1,1,0,0,0,0,1,0,0,"9.0 miles, roundtrip",1000,3982,Holden to Hart Lake,48.1995,-120.7792,7,2,2.00 out of 5,Central Cascades -- Entiat Mountains/Lake Chelan,https://www.wta.org/go-hiking/hikes/holden-to-heart-lake,NaN
0,0,1,0,0,1,1,0,1,1,0,1,1,0,"13.7 miles, one-way",5200,6700,Sunrise to Carbon River Traverse,,,1,0,0.00 out of 5,Mount Rainier Area -- NE - Sunrise/White River,https://www.wta.org/go-hiking/hikes/sunrise-to-carbon-river-traverse,National Park Pass
1,0,0,0,0,0,1,0,0,0,1,0,0,1,"5.0 miles, roundtrip",1050,2025,Oyster Dome,48.6096,-122.4264,664,115,4.04 out of 5,Puget Sound and Islands -- Bellingham Area,https://www.wta.org/go-hiking/hikes/oyster-dome,Discover Pass
0,0,0,0,1,0,1,0,0,0,0,1,0,0,NaN,,,Monkey Bear Falls,48.2001,-120.7746,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/monkey-bear-falls,None
0,0,0,0,1,1,1,1,0,1,0,1,1,1,"5.4 miles, roundtrip",1350,2400,Lake 22,48.077,-121.7457,1581,234,4.24 out of 5,North Cascades -- Mountain Loop Highway,https://www.wta.org/go-hiking/hikes/lake-22-lake-twenty-two,Northwest Forest Pass
0,0,0,0,0,0,1,0,1,1,0,0,1,1,"6.0 miles, roundtrip",1800,3000,Icicle Ridge,47.583,-120.6834,225,16,3.56 out of 5,Central Cascades -- Leavenworth Area,https://www.wta.org/go-hiking/hikes/icicle-ridge-1,None
