Coast,Dogs not allowed,Established campsites,Fall foilage,Good for kids,Lakes,Mountain views,Old growth,Ridges/passes,Rivers,Summits,Waterfalls,Wildflowers/Meadows,Wildlife,distance,elevation_gain,highest_point,hike_name,lat,long,numReports,number_votes,rating,region,url,which_pass
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lower Eagle Lakes,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lower-eagle-lakes,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lost Beagle,,,40,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lost-beagle,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lucky Jim,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lucky-jim,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Mad Lake,,,5,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/mad-lake,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lower Mill Creek,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lower-mill-creek,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Long View Peak,,,23,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/long-view-peak,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Louisiana Saddle,,,1,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/louisiana-saddle,NaN
0,0,0,0,0,0,1,1,0,1,0,0,0,0,"5.0 miles, roundtrip",400,3200,Whitepine Creek,47.7706,-120.9272,27,5,2.40 out of 5,Central Cascades -- Stevens Pass - East,https://www.wta.org/go-hiking/hikes/lost-lake,Northwest Forest Pass
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lower Maynard Burn,,,2,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lower-maynard-burn,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Louie Trail,46.5702,-120.3113,2,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/louie-trail,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lodgepole Creek,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lodgepole-creek,NaN
0,0,1,0,1,0,0,0,0,1,0,0,0,0,"3.0 miles, roundtrip",250,2500,Little Wenatchee Gorge,47.8749,-121.0148,75,7,3.14 out of 5,Central Cascades -- Stevens Pass - East,https://www.wta.org/go-hiking/hikes/little-wenatchee-river,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lorraine Ridge,,,3,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lorraine-ridge,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Main Fork Dosewallips River,47.7378,-123.1764,30,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/main-fork-dosewallips-river,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Longmire To Reflection Lakes,,,8,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/longmire-to-reflection-lakes,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lost Pass Primitive,,,12,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lost-pass-primitive,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Long Ridge,,,12,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/long-ridge,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lower Sand Creek,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lower-sand-creek,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Langfield Falls,46.099,-121.7201,1,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/langfield-falls,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lily Basin Horse,,,6,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lilly-basin-horse,NaN
0,0,0,0,0,0,0,1,0,0,0,0,0,0,"10.0 miles, roundtrip",2000,2800,Lena Lake - Valley of Silent Men Snowshoe,47.6009,-123.1456,12,4,2.75 out of 5,Olympic Peninsula,https://www.wta.org/go-hiking/hikes/lena-lake-valley-of-silent-men-snowshoe,NaN
0,0,0,0,0,1,0,0,0,0,0,0,0,0,NaN,,,Lake Vicente,47.543,-121.5511,8,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lake-vicente,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Little Boulder,,,0,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/little-boulder,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Leland Lake,,,3,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/leland-lake,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Little Bridge Creek,,,1,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/little-bridge-creek,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lewis Lake,,,25,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lewis-lake,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Lemah Meadow,47.4623,-121.281,10,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/lemah-meadow,NaN
0,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,,,Little Salmon La Sac,,,6,NaN,NaN,NaN,https://www.wta.org/go-hiking/hikes/little-salmon-la-sac,NaN
