,Coast,Dogs not allowed,Established campsites,Fall foilage,Good for kids,Lakes,Mountain views,Old growth,Ridges/passes,Rivers,Summits,Waterfalls,Wildflowers/Meadows,Wildlife,elevation_gain,highest_point,hike_name,lat,long,numReports,number_votes,url,which_pass,super_region,sub_region,total_distance,stars
0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,3800.0,4788.0,Mount Teneriffe,47.4861,-121.7011,451,18.0,https://www.wta.org/go-hiking/hikes/mount-teneriffe-road-trail,Discover Pass,Snoqualmie Region , North Bend Area,13.8,3.44
1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1585.0,2370.0,Teneriffe Falls (Kamikaze Falls),47.4862,-121.6995,683,35.0,https://www.wta.org/go-hiking/hikes/kamikaze-falls,Discover Pass,Snoqualmie Region , North Bend Area,5.4,3.89
2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,,,Chief Joseph Wildlife Area - 4-O Ranch,46.0407,-117.2912,1,,https://www.wta.org/go-hiking/hikes/chief-joseph-wildlife-area-4-o-ranch,Discover Pass,nan,NaN,,
3,0,0,0,0,0,0,1,0,1,0,1,0,1,0,3020.0,5220.0,West Defiance - Putrid Pete's Peak,47.4267,-121.5864,114,7.0,https://www.wta.org/go-hiking/hikes/west-defiance,Northwest Forest Pass,Snoqualmie Region , North Bend Area,6.8,3.86
4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1400.0,1950.0,Diablo Lake,48.7206,-121.1216,101,15.0,https://www.wta.org/go-hiking/hikes/diablo-lake,,North Cascades , North Cascades Highway - Hwy 20,7.6,3.2
5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,110.0,1270.0,Klondike Swamp,47.5335,-122.1137,42,4.0,https://www.wta.org/go-hiking/hikes/klondike-swamp,None,Issaquah Alps , Cougar Mountain,2.5,2.75
6,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1685.0,8245.0,Tiffany Mountain,48.663000000000004,-119.9648,46,10.0,https://www.wta.org/go-hiking/hikes/tiffany-mountain,,North Cascades , Pasayten,4.2,4.1
7,0,0,0,0,1,0,0,0,0,0,0,0,1,1,900.0,2900.0,Colville Mountain Loop Trail,,,1,0.0,https://www.wta.org/go-hiking/hikes/colville-mountain-loop-trail,None,Eastern Washington , Selkirk Range,4.0,0.0
8,0,0,0,0,1,0,0,0,0,0,0,0,1,1,,,Scatter Creek,46.8432,-122.9842,0,,https://www.wta.org/go-hiking/hikes/scatter-creek,,nan,NaN,,
9,0,0,0,0,1,0,0,1,0,1,0,1,1,1,40.0,1360.0,Camp Creek Falls,46.4487,-121.8355,3,4.0,https://www.wta.org/go-hiking/hikes/camp-creek-falls,Northwest Forest Pass,South Cascades , White Pass/Cowlitz River Valley,0.6,3.5
10,0,0,1,0,1,1,0,0,1,1,0,0,0,0,,,Stampede Pass to Windy Pass,47.2832,-121.3514,7,,https://www.wta.org/go-hiking/hikes/windy-pass-to-stampede-pass,,nan,NaN,,
11,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1400.0,5892.0,Sunrise Peak,46.3354,-121.7434,21,7.0,https://www.wta.org/go-hiking/hikes/sunrise-peak,None,South Cascades , Dark Divide,3.0,3.57
12,0,0,1,0,0,1,1,1,1,1,0,0,0,1,3600.0,4900.0,Stehekin to Rainy Pass,,,1,0.0,https://www.wta.org/go-hiking/hikes/stehekin-to-rainy-pass,National Park Pass,North Cascades , North Cascades Highway - Hwy 20,37.4,0.0
13,0,0,1,0,1,1,0,0,0,0,0,0,1,0,900.0,5200.0,Twin Sisters Lakes,46.751999999999995,-121.3615,76,12.0,https://www.wta.org/go-hiking/hikes/twin-sisters,Northwest Forest Pass,Mount Rainier Area , Chinook Pass - Hwy 410,4.4,3.58
14,0,0,0,0,0,0,1,0,1,0,1,0,0,0,3700.0,7400.0,Mount Aix,46.8126,-121.3018,83,8.0,https://www.wta.org/go-hiking/hikes/mount-aix,,Mount Rainier Area , Chinook Pass - Hwy 410,14.8,4.62
15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27.0,4076.0,Copper City Ghost Town,46.8689,-121.2933,5,0.0,https://www.wta.org/go-hiking/hikes/copper-city-ghost-town,Northwest Forest Pass,Mount Rainier Area , Chinook Pass - Hwy 410,0.5,0.0
16,0,0,0,0,0,1,1,1,0,0,0,0,0,0,8600.0,6400.0,Chinook Pass to Snoqualmie Pass,,,2,0.0,https://www.wta.org/go-hiking/hikes/chinook-pass-to-snoqualmie-pass,Wilderness permit. Self-issue at trailhead (no fee),Mount Rainier Area , Chinook Pass - Hwy 410,126.6,0.0
