Coast|Dogs not allowed|Established campsites|Fall foilage|Good for kids|Lakes|Mountain views|Old growth|Ridges/passes|Rivers|Summits|Waterfalls|Wildflowers/Meadows|Wildlife|elevation_gain|highest_point|hike_name|lat|long|numReports|number_votes|url|which_pass|super_region|sub_region|total_distance|stars|Backcountry camping permit. Register in person at ranger station (no fee)|Discover Pass|Discover Pass, Sno-Parks Permit|National Monument Fee|National Monument Fee, Sno-Parks Permit|National Park Pass|None|None, Northwest Forest Pass|Northwest Forest Pass|Northwest Forest Pass, Sno-Parks Permit|Oregon State Parks Day-Use|Refuge Entrance Pass|Sno-Parks Permit|Wilderness permit. Self-issue at trailhead (no fee)| Bellingham Area| Blewett Pass| Chinook Pass - Hwy 410| Cle Elum Area| Columbia River Gorge - OR| Columbia River Gorge - WA| Cougar Mountain| Dark Divide| Entiat Mountains/Lake Chelan| Goat Rocks| Grand Coulee| Hood Canal| Kitsap Peninsula| Leavenworth Area| Lewis River Region| Long Beach Area| Methow/Sawtooth| Mount Adams Area| Mount Baker Area| Mount St. Helens| Mountain Loop Highway| NE - Sunrise/White River| NW - Carbon River/Mowich| North Bend Area| North Cascades Highway - Hwy 20| Northern Coast| Okanogan Highlands/Kettle River Range| Olympia| Orcas Island| Pacific Coast| Palouse and Blue Mountains| Pasayten| Potholes Region| SE - Cayuse Pass/Steven's Canyon| SW - Longmire/Paradise| Salmon La Sac/Teanaway| San Juan Islands| Seattle-Tacoma Area| Selkirk Range| Snoqualmie Pass| Spokane Area/Coeur d'Alene| Squak Mountain| Stevens Pass - East| Stevens Pass - West| Tiger Mountain| Tri-Cities| Vancouver Area| Wenatchee| Whidbey Island| White Pass/Cowlitz River Valley| Yakima|NaN|distance_from_median
2853|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Lower Eagle Lakes|||0||https://www.wta.org/go-hiking/hikes/lower-eagle-lakes||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1992|0|0|1|0|0|0|1|0|0|0|0|0|1|1|||Grass Camp|47.3135|-120.535|0||https://www.wta.org/go-hiking/hikes/grass-camp|Northwest Forest Pass|nan|NaN|||0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9399.250828080983
1984|0|0|0|0|1|1|0|0|0|0|0|0|0|1|||Headquarters Trail|48.4617|-117.7319|0||https://www.wta.org/go-hiking/hikes/headquarters-trail||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9240.635235742397
1958|0|0|0|0|0|0|0|0|0|0|0|0|0|0|40.0|60.0|Crescent Beach Preserve|48.696000000000005|-122.8916|0|0.0|https://www.wta.org/go-hiking/hikes/crescent-beach-preserve|None|Puget Sound and Islands| San Juan Islands|1.5|0.0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9171.979495865387
2729|0|0|0|0|0|0|0|0|0|0|0|0|0|1|100.0|1800.0|Packer Creek|||0|2.0|https://www.wta.org/go-hiking/hikes/packer-creek||Eastern Washington| Spokane Area/Coeur d'Alene|4.0|3.5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|
2727|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Paradise Lakes|||0||https://www.wta.org/go-hiking/hikes/paradise-lakes||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
1942|0|1|0|0|1|0|0|0|0|0|0|0|1|0|||Finch Arboretum|47.6432|-117.4625|0||https://www.wta.org/go-hiking/hikes/finch-arboretum|None|nan|NaN|||0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|9326.836937636146
2739|0|0|1|0|0|0|1|0|0|1|0|0|0|0|1500.0|3360.0|Paul Mountain Snowshoe|||0|2.0|https://www.wta.org/go-hiking/hikes/paul-mountain-snowshoe|Sno-Parks Permit|North Cascades| Methow/Sawtooth|7.0|3.5|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|
1825|0|0|1|0|0|1|1|1|1|1|1|0|0|1|1250.0|4350.0|McClellan Meadows to Indian Racetrack Snowshoe|46.0097|-121.9017|0|4.0|https://www.wta.org/go-hiking/hikes/mcclellan-meadows|Sno-Parks Permit|South Cascades| Mount Adams Area|15.0|4.25|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|9706.836861574444
2716|0|0|0|0|0|0|0|0|0|0|0|0|0|0|||Oregon Creek|||0||https://www.wta.org/go-hiking/hikes/oregon-creek||nan|NaN|||0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|
