"condition|snow"|"condition|trail"|"condition|bugs"|"condition|road"
0|False|True|False|False
1|False|False|False|False
2|False|False|False|False
3|True|False|False|False
4|False|False|False|False
5|True|True|False|False
6|False|False|False|False
7|False|False|False|False
8|True|False|False|False
9|False|False|False|False
10|False|False|True|True
11|False|False|False|True
12|False|False|True|False
13|False|False|False|True
14|False|False|False|True
15|False|False|False|True
16|False|False|False|False
17|False|False|False|True
18|False|False|False|True
19|False|False|False|True
20|False|False|False|False
21|False|False|False|False
22|False|False|False|False
23|False|False|False|False
24|False|False|False|False
25|True|False|False|False
26|True|False|False|False
27|False|False|False|False
28|False|False|False|False
29|False|False|False|False
30|False|False|False|True
31|False|False|False|False
32|False|False|True|False
33|False|False|False|False
34|False|True|True|False
35|True|True|False|False
36|False|False|False|False
37|False|False|False|False
38|False|False|False|False
39|True|False|False|False
40|False|False|False|False
41|False|False|False|False
42|True|False|False|False
43|True|False|False|False
44|False|False|False|False
45|True|False|False|False
46|True|False|False|False
47|True|True|False|False
48|False|False|False|False
49|False|False|False|False
50|False|False|False|False
51|False|False|False|False
52|False|False|False|False
53|False|False|False|False
54|False|False|False|False
55|False|False|False|False
56|True|True|False|False
57|False|False|False|False
58|False|False|False|False
59|False|False|False|False
60|False|False|False|False
61|True|False|False|False
62|False|False|False|False
63|False|False|False|False
64|False|False|False|False
65|False|False|False|False
66|False|False|False|False
67|False|True|False|False
68|False|False|False|False
69|False|False|False|False
70|True|False|False|False
71|False|True|False|False
72|False|False|False|False
73|False|False|False|False
74|False|False|False|False
75|False|False|False|False
76|False|False|False|False
77|False|False|False|False
78|False|False|False|False
79|False|False|False|False
80|False|False|False|False
81|False|False|False|False
82|False|False|False|False
83|False|False|False|False
84|False|False|False|False
85|False|True|False|True
86|False|False|False|False
87|False|False|False|False
88|False|False|False|False
89|False|False|False|False
90|False|False|False|False
91|False|False|False|False
92|False|False|False|False
93|False|False|False|False
94|False|False|False|False
95|False|False|False|False
96|False|False|False|False
97|False|False|False|False
98|False|False|False|False
99|True|False|False|False
100|False|False|False|False
101|True|True|False|False
102|False|False|False|False
103|False|False|False|False
104|False|False|False|False
105|False|False|False|False
106|False|False|False|False
107|False|False|False|False
108|False|False|True|False
109|False|False|False|False
110|False|False|False|False
111|False|False|False|False
112|False|False|False|False
113|False|False|False|False
114|False|False|False|False
115|False|False|False|False
116|True|False|False|False
117|True|False|False|False
118|False|False|False|False
119|True|False|False|False
120|True|False|False|False
121|False|False|False|False
122|False|False|False|False
123|True|False|False|False
124|True|False|False|False
125|False|False|False|False
126|False|True|False|False
127|False|False|False|False
128|False|False|False|False
129|False|False|False|False
130|False|False|False|False
131|False|False|False|False
132|True|False|False|False
133|False|False|False|False
134|True|True|False|False
135|True|True|False|False
136|True|True|False|False
137|False|False|False|False
138|True|True|False|False
139|False|False|False|False
140|False|True|False|False
141|False|False|False|False
142|False|False|False|False
143|False|False|False|False
144|False|True|False|False
145|False|True|True|False
146|False|True|False|False
147|False|False|False|False
148|False|True|False|False
149|False|False|False|False
150|False|True|False|False
151|False|False|False|False
152|False|False|False|False
153|False|True|False|False
154|False|False|False|False
155|False|True|False|False
156|False|True|False|False
157|True|True|False|False
158|False|False|False|False
159|False|True|False|False
160|False|True|False|False
161|False|False|True|False
162|False|False|False|False
163|False|True|False|False
164|False|True|False|False
